A302100 - Total Workers (1) (Workers 16 years and over),,,
Current date: 5/28/2017 10:35:29 AM (Eastern Daylight Time),,,
RESIDENCE,WORKPLACE,Output,Workers 16 and Over
Alabama,Alabama,Estimate,"1,916,165"
Alabama,Alabama,Margin of Error,"6,132"
Alabama,Alaska,Estimate,100
Alabama,Alaska,Margin of Error,53
Alabama,Arizona,Estimate,165
Alabama,Arizona,Margin of Error,103
Alabama,Arkansas,Estimate,380
Alabama,Arkansas,Margin of Error,137
Alabama,California,Estimate,590
Alabama,California,Margin of Error,149
Alabama,Colorado,Estimate,205
Alabama,Colorado,Margin of Error,84
Alabama,Connecticut,Estimate,55
Alabama,Connecticut,Margin of Error,38
Alabama,Delaware,Estimate,20
Alabama,Delaware,Margin of Error,31
Alabama,District of Columbia,Estimate,90
Alabama,District of Columbia,Margin of Error,48
Alabama,Florida,Estimate,"8,205"
Alabama,Florida,Margin of Error,697
Alabama,Georgia,Estimate,"39,865"
Alabama,Georgia,Margin of Error,"1,286"
Alabama,Hawaii,Estimate,30
Alabama,Hawaii,Margin of Error,33
Alabama,Illinois,Estimate,435
Alabama,Illinois,Margin of Error,151
Alabama,Indiana,Estimate,395
Alabama,Indiana,Margin of Error,140
Alabama,Iowa,Estimate,100
Alabama,Iowa,Margin of Error,54
Alabama,Kansas,Estimate,100
Alabama,Kansas,Margin of Error,58
Alabama,Kentucky,Estimate,405
Alabama,Kentucky,Margin of Error,161
Alabama,Louisiana,Estimate,"2,930"
Alabama,Louisiana,Margin of Error,352
Alabama,Maine,Estimate,55
Alabama,Maine,Margin of Error,47
Alabama,Maryland,Estimate,260
Alabama,Maryland,Margin of Error,103
Alabama,Massachusetts,Estimate,95
Alabama,Massachusetts,Margin of Error,48
Alabama,Michigan,Estimate,180
Alabama,Michigan,Margin of Error,88
Alabama,Minnesota,Estimate,170
Alabama,Minnesota,Margin of Error,97
Alabama,Mississippi,Estimate,"14,085"
Alabama,Mississippi,Margin of Error,"1,005"
Alabama,Missouri,Estimate,285
Alabama,Missouri,Margin of Error,111
Alabama,Montana,Estimate,10
Alabama,Montana,Margin of Error,13
Alabama,Nebraska,Estimate,100
Alabama,Nebraska,Margin of Error,63
Alabama,Nevada,Estimate,110
Alabama,Nevada,Margin of Error,72
Alabama,New Jersey,Estimate,245
Alabama,New Jersey,Margin of Error,98
Alabama,New Mexico,Estimate,90
Alabama,New Mexico,Margin of Error,55
Alabama,New York,Estimate,180
Alabama,New York,Margin of Error,90
Alabama,North Carolina,Estimate,640
Alabama,North Carolina,Margin of Error,163
Alabama,Ohio,Estimate,480
Alabama,Ohio,Margin of Error,129
Alabama,Oklahoma,Estimate,145
Alabama,Oklahoma,Margin of Error,79
Alabama,Oregon,Estimate,30
Alabama,Oregon,Margin of Error,36
Alabama,Pennsylvania,Estimate,325
Alabama,Pennsylvania,Margin of Error,119
Alabama,Rhode Island,Estimate,10
Alabama,Rhode Island,Margin of Error,15
Alabama,South Carolina,Estimate,550
Alabama,South Carolina,Margin of Error,177
Alabama,South Dakota,Estimate,30
Alabama,South Dakota,Margin of Error,37
Alabama,Tennessee,Estimate,"7,920"
Alabama,Tennessee,Margin of Error,663
Alabama,Texas,Estimate,"1,405"
Alabama,Texas,Margin of Error,271
Alabama,Utah,Estimate,55
Alabama,Utah,Margin of Error,47
Alabama,Virginia,Estimate,690
Alabama,Virginia,Margin of Error,205
Alabama,Washington,Estimate,175
Alabama,Washington,Margin of Error,101
Alabama,West Virginia,Estimate,205
Alabama,West Virginia,Margin of Error,192
Alabama,Wisconsin,Estimate,120
Alabama,Wisconsin,Margin of Error,56
Alabama,Wyoming,Estimate,35
Alabama,Wyoming,Margin of Error,32
Alaska,Alabama,Estimate,85
Alaska,Alabama,Margin of Error,69
Alaska,Alaska,Estimate,"332,400"
Alaska,Alaska,Margin of Error,"2,061"
Alaska,Arizona,Estimate,40
Alaska,Arizona,Margin of Error,41
Alaska,California,Estimate,160
Alaska,California,Margin of Error,83
Alaska,Colorado,Estimate,30
Alaska,Colorado,Margin of Error,26
Alaska,District of Columbia,Estimate,60
