source	target	type
1354332871	#aa	Undirected
89543033	#abballusenzasballu	Undirected
243447738	#abogadasenproceso	Undirected
1180020318	#abrazaunuribista	Undirected
4799899583	#abrazaunuribista	Undirected
703805636	#acp	Undirected
225920698	#activaciones	Undirected
737866815175569409	#adiosrcn	Undirected
273170179	#adrenalinaalmaximo	Undirected
18655030	#adventurous	Undirected
1354332871	#af	Undirected
136401150	#afrovenezolano	Undirected
1123745592	#ahorasuena	Undirected
172818772	#alborada	Undirected
220057539	#alexaionocover	Undirected
1354332871	#alialessandro	Undirected
635520177	#allisonjulieth	Undirected
276233876	#alma	Undirected
1172733126	#amalavida	Undirected
1094301498	#ambiente	Undirected
177751418	#amigas	Undirected
550352245	#amigofiel	Undirected
1558698438	#amigos	Undirected
116824340	#amigos	Undirected
3906502943	#amis	Undirected
3003682539	#amistades	Undirected
202940333	#amoleer	Undirected
603223850	#anime	Undirected
1291570075	#aotronivel	Undirected
194023021	#aotronivel	Undirected
1180020318	#aotronivel	Undirected
210278103	#argentina	Undirected
89543033	#arlecchino	Undirected
194599556	#aruba	Undirected
312719924	#arubaeats	Undirected
194599556	#arubamusicsummerfestival	Undirected
253687499	#audimotorsportscolombia	Undirected
1123745592	#ayeryhoy	Undirected
287540156	#ayjuan	Undirected
263989782	#azucarysal	Undirected
848337278	#baby	Undirected
3243882225	#babysallright	Undirected
373637530	#backtobasic	Undirected
1499005789	#bantitodj	Undirected
119440644	#barquisimeto	Undirected
89361818	#barrioabajo	Undirected
105167856	#batalladelasfirmas	Undirected
17916058	#batalladelashuellas	Undirected
74389994	#bdaygirl	Undirected
167907939	#beach	Undirected
80731992	#beattleofthebastards	Undirected
3003682539	#bellezas	Undirected
153222812	#betina	Undirected
71123010	#bicampeon	Undirected
223478400	#blancoynegro	Undirected
104834449	#blessed	Undirected
195227348	#blessing	Undirected
1172733126	#bloomersbikini	Undirected
129349969	#blur	Undirected
567780622	#bogota	Undirected
207565352	#bogota	Undirected
1182074978	#boicotaldineroelectronico	Undirected
405235236	#boicotaldineroelectronico	Undirected
170041700	#boulder	Undirected
170041700	#bouldering	Undirected
217606892	#brangelina	Undirected
31627359	#brexit	Undirected
17916058	#brexit	Undirected
105651598	#brexit	Undirected
1359067658	#brexit	Undirected
19057251	#brexit	Undirected
225920698	#btl	Undirected
1094301498	#buenarumba	Undirected
726144921892167681	#buenasmadrugadas	Undirected
176184071	#buenasnoches	Undirected
101106249	#buenasnoches	Undirected
811695457	#buenasnoches	Undirected
1207782566	#buenviernes	Undirected
1180020318	#buenviernes	Undirected
1046610404	#bullshit	Undirected
66794166	#butnotanymore	Undirected
779035748	#buysolaonitunes	Undirected
321144467	#cabalgataplayas	Undirected
2562442524	#caballero	Undirected
2603972593	#caballero	Undirected
2603972593	#caballeros	Undirected
339413309	#cagua	Undirected
170041700	#caldas	Undirected
194023021	#camacho	Undirected
565852566	#campeonas	Undirected
311036753	#canciondeldesierto	Undirected
299424523	#canserbero	Undirected
89007912	#carabobo	Undirected
112163686	#caracas	Undirected
82660034	#caracas	Undirected
187776512	#caracas	Undirected
425452892	#carora	Undirected
217146330	#carora	Undirected
506801327	#cartagena	Undirected
189421982	#cat	Undirected
278372795	#cat	Undirected
746462550825517056	#cats	Undirected
1708694126	#caujarosanfcozulia	Undirected
355756376	#cd	Undirected
2861996363	#cd	Undirected
3642467481	#chance	Undirected
1132491452	#chayanne	Undirected
1869524413	#chile	Undirected
243447738	#chilis	Undirected
287540156	#chitre	Undirected
188045070	#churismo	Undirected
1448018905	#cicpc	Undirected
406486684	#ciegafuerza	Undirected
446795951	#ciegafuerza	Undirected
3204067018	#cinquentatons	Undirected
1704924738	#clairdelune	Undirected
2593776893	#clap	Undirected
170041700	#climbing	Undirected
87686768	#coctelnight	Undirected
1182074978	#cogep	Undirected
243447738	#colegas	Undirected
183406792	#colombia	Undirected
117154397	#colombia	Undirected
553074269	#colombiawants	Undirected
243447738	#comelona	Undirected
709785628431544320	#comida	Undirected
336231847	#comotuninguna	Undirected
82660034	#concert	Undirected
241599738	#concert	Undirected
177751418	#concierto	Undirected
82660034	#concierto	Undirected
446795951	#concierto	Undirected
406486684	#concierto	Undirected
223478400	#concierto	Undirected
17916058	#concluoea	Undirected
410861950	#concondón	Undirected
210278103	#copaamerica	Undirected
133259529	#corralerosdemajagualoriginales	Undirected
1330504478	#cousins	Undirected
204091381	#culturísimarecomienda	Undirected
112163686	#cumple	Undirected
1210305776	#curti	Undirected
212035306	#cwc	Undirected
1372266338	#cómovamos	Undirected
166028926	#daddyyankee	Undirected
99801228	#danto	Undirected
611018099	#debarrio	Undirected
309993963	#delirio	Undirected
372604988	#demilovatonorockinrio	Undirected
77382474	#desfilenocturno	Undirected
278372795	#design	Undirected
139824862	#despedidas	Undirected
104016946	#dessert	Undirected
2952478119	#deveras	Undirected
204091381	#diadelmaquillador	Undirected
150505455	#dictator	Undirected
3362648895	#digitel	Undirected
2924003669	#diosenviouprabesalospormi	Undirected
223478400	#dioses	Undirected
516991923	#diosesbueno	Undirected
388964124	#diosfiel	Undirected
1354332871	#diosmeloscuide	Undirected
510749307	#diseño	Undirected
1094301498	#diversion	Undirected
709785628431544320	#diversion	Undirected
129349969	#dog	Undirected
1180020318	#dontettogiracolombia	Undirected
68746991	#dreamkapture	Undirected
1110501908	#drones	Undirected
3243882225	#drowners	Undirected
3243882225	#drownersband	Undirected
169543344	#dulcemaria	Undirected
169543344	#dulcemariatrendy	Undirected
328310934	#díadelmaquillador	Undirected
62435821	#ecology	Undirected
276233876	#ecuador	Undirected
293774650	#ecuaexit	Undirected
189611130	#efectosespeciales	Undirected
37556766	#elconjuro	Undirected
206818387	#eldato	Undirected
191093378	#eldiadelaindependencia	Undirected
124113068	#elfracasodecapriles	Undirected
523407066	#elfracasodecapriles	Undirected
17916058	#elfracasodecapriles	Undirected
635520177	#elicemabel	Undirected
444071638	#elinmortalmuertoseretuerce	Undirected
202940333	#elpéndulodefoucault	Undirected
3642467481	#eltripledehoy	Undirected
735504559729168384	#empanaditas	Undirected
2281209522	#emperatriz	Undirected
814079713	#energia	Undirected
1185778536	#energia	Undirected
83158652	#energia	Undirected
348768326	#enjoy	Undirected
1385375114	#enlafinal	Undirected
265850729	#enlasescaleras	Undirected
2149683634	#entrevistas	Undirected
553909607	#envacacionesyosiempre	Undirected
2858385383	#envacacionesyosiempre	Undirected
1180020318	#envacacionesyosiempre	Undirected
172851128	#envacacionesyosiempre	Undirected
170561649	#envacacionesyosiempre	Undirected
386185904	#envacacionesyosiempre	Undirected
396117650	#envacacionesyosiempre	Undirected
2405531431	#envacacionesyosiempre	Undirected
3081104615	#eslaultima	Undirected
352356850	#esporti	Undirected
1520519215	#estamoslocos	Undirected
237001147	#estebarconosevahundir	Undirected
847676324	#evento	Undirected
273170179	#explosionmusical	Undirected
386185904	#extremo	Undirected
3004426973	#facebook	Undirected
3204067018	#facebook	Undirected
3081104615	#fail	Undirected
205847829	#fairplay	Undirected
3095057821	#falsodineroelectronico	Undirected
327752186	#familia	Undirected
478860943	#familia	Undirected
703805636	#familiafolcklore	Undirected
49012211	#familiahermosa	Undirected
89007912	#familiasosa	Undirected
1330504478	#family	Undirected
295791501	#family	Undirected
89361818	#family	Undirected
89007912	#familytime	Undirected
101569103	#fb	Undirected
107598401	#fbf	Undirected
100109429	#felicidad	Undirected
