Source	Target	Type
#abballusenzasballu	89543033	Undirected
#activaciones	225920698	Undirected
#adiosrcn	737866815175569409	Undirected
#adrenalinaalmaximo	273170179	Undirected
#afrovenezolano	136401150	Undirected
#ahorasuena	1123745592	Undirected
#alborada	172818772	Undirected
#alexaionocover	220057539	Undirected
#alma	276233876	Undirected
#ambiente	1094301498	Undirected
#amigofiel	550352245	Undirected
#amigos	116824340	Undirected
#amigos	1558698438	Undirected
#amis	3906502943	Undirected
#anime	603223850	Undirected
#arlecchino	89543033	Undirected
#aruba	194599556	Undirected
#ayeryhoy	1123745592	Undirected
#azucarysal	263989782	Undirected
#babysallright	3243882225	Undirected
#backtobasic	373637530	Undirected
#barrioabajo	89361818	Undirected
#batalladelasfirmas	105167856	Undirected
#beach	167907939	Undirected
#bellezas	3003682539	Undirected
#betina	153222812	Undirected
#bicampeon	71123010	Undirected
#bloomersbikini	1172733126	Undirected
#bogota	207565352	Undirected
#boulder	170041700	Undirected
#bouldering	170041700	Undirected
#brangelina	217606892	Undirected
#brexit	1359067658	Undirected
#brexit	19057251	Undirected
#brexit	31627359	Undirected
#btl	225920698	Undirected
#bullshit	1046610404	Undirected
#butnotanymore	66794166	Undirected
#buysolaonitunes	779035748	Undirected
#cabalgataplayas	321144467	Undirected
#camacho	194023021	Undirected
#campeonas	565852566	Undirected
#carabobo	89007912	Undirected
#caracas	187776512	Undirected
#carora	217146330	Undirected
#carora	425452892	Undirected
#cat	189421982	Undirected
#cat	278372795	Undirected
#cats	746462550825517056	Undirected
#cd	2861996363	Undirected
#chance	3642467481	Undirected
#chayanne	1132491452	Undirected
#chile	1869524413	Undirected
#chilis	243447738	Undirected
#churismo	188045070	Undirected
#ciegafuerza	406486684	Undirected
#ciegafuerza	446795951	Undirected
#cinquentatons	3204067018	Undirected
#clap	2593776893	Undirected
#climbing	170041700	Undirected
#colombia	183406792	Undirected
#comelona	243447738	Undirected
#comotuninguna	336231847	Undirected
#concierto	177751418	Undirected
#concierto	406486684	Undirected
#concierto	446795951	Undirected
#concondón	410861950	Undirected
#corralerosdemajagualoriginales	133259529	Undirected
#cousins	1330504478	Undirected
#cumple	112163686	Undirected
#danto	99801228	Undirected
#debarrio	611018099	Undirected
#delirio	309993963	Undirected
#demilovatonorockinrio	372604988	Undirected
#desfilenocturno	77382474	Undirected
#design	278372795	Undirected
#dessert	104016946	Undirected
#deveras	2952478119	Undirected
#diadelmaquillador	204091381	Undirected
#diosenviouprabesalospormi	2924003669	Undirected
#diseño	510749307	Undirected
#dreamkapture	68746991	Undirected
#drones	1110501908	Undirected
#drownersband	3243882225	Undirected
#dulcemaria	169543344	Undirected
#dulcemariatrendy	169543344	Undirected
#díadelmaquillador	328310934	Undirected
#elconjuro	37556766	Undirected
#eldato	206818387	Undirected
#elfracasodecapriles	523407066	Undirected
#eltripledehoy	3642467481	Undirected
#emperatriz	2281209522	Undirected
#energia	1185778536	Undirected
#envacacionesyosiempre	172851128	Undirected
#estebarconosevahundir	237001147	Undirected
