source	target
1354332871	#aa
89543033	#abballusenzasballu
243447738	#abogadasenproceso
4799899583	#abrazaunuribista
1180020318	#abrazaunuribista
703805636	#acp
225920698	#activaciones
737866815175569409	#adiosrcn
273170179	#adrenalinaalmaximo
18655030	#adventurous
1354332871	#af
136401150	#afrovenezolano
1123745592	#ahorasuena
172818772	#alborada
220057539	#alexaionocover
1354332871	#alialessandro
635520177	#allisonjulieth
276233876	#alma
1172733126	#amalavida
1094301498	#ambiente
177751418	#amigas
550352245	#amigofiel
1558698438	#amigos
116824340	#amigos
3906502943	#amis
3003682539	#amistades
202940333	#amoleer
603223850	#anime
194023021	#aotronivel
1291570075	#aotronivel
1180020318	#aotronivel
210278103	#argentina
89543033	#arlecchino
194599556	#aruba
312719924	#arubaeats
194599556	#arubamusicsummerfestival
253687499	#audimotorsportscolombia
1123745592	#ayeryhoy
287540156	#ayjuan
263989782	#azucarysal
848337278	#baby
3243882225	#babysallright
373637530	#backtobasic
1499005789	#bantitodj
119440644	#barquisimeto
89361818	#barrioabajo
105167856	#batalladelasfirmas
17916058	#batalladelashuellas
74389994	#bdaygirl
167907939	#beach
80731992	#beattleofthebastards
3003682539	#bellezas
153222812	#betina
71123010	#bicampeon
223478400	#blancoynegro
104834449	#blessed
195227348	#blessing
1172733126	#bloomersbikini
129349969	#blur
567780622	#bogota
207565352	#bogota
405235236	#boicotaldineroelectronico
1182074978	#boicotaldineroelectronico
170041700	#boulder
170041700	#bouldering
217606892	#brangelina
31627359	#brexit
1359067658	#brexit
17916058	#brexit
19057251	#brexit
105651598	#brexit
225920698	#btl
1094301498	#buenarumba
726144921892167681	#buenasmadrugadas
176184071	#buenasnoches
101106249	#buenasnoches
811695457	#buenasnoches
1180020318	#buenviernes
1207782566	#buenviernes
1046610404	#bullshit
66794166	#butnotanymore
779035748	#buysolaonitunes
321144467	#cabalgataplayas
2603972593	#caballero
2562442524	#caballero
2603972593	#caballeros
339413309	#cagua
170041700	#caldas
194023021	#camacho
565852566	#campeonas
311036753	#canciondeldesierto
299424523	#canserbero
89007912	#carabobo
187776512	#caracas
82660034	#caracas
112163686	#caracas
217146330	#carora
425452892	#carora
506801327	#cartagena
189421982	#cat
278372795	#cat
746462550825517056	#cats
1708694126	#caujarosanfcozulia
2861996363	#cd
355756376	#cd
3642467481	#chance
1132491452	#chayanne
1869524413	#chile
243447738	#chilis
287540156	#chitre
188045070	#churismo
1448018905	#cicpc
446795951	#ciegafuerza
406486684	#ciegafuerza
3204067018	#cinquentatons
1704924738	#clairdelune
2593776893	#clap
170041700	#climbing
87686768	#coctelnight
1182074978	#cogep
243447738	#colegas
183406792	#colombia
117154397	#colombia
553074269	#colombiawants
243447738	#comelona
709785628431544320	#comida
336231847	#comotuninguna
241599738	#concert
82660034	#concert
82660034	#concierto
177751418	#concierto
223478400	#concierto
406486684	#concierto
446795951	#concierto
17916058	#concluoea
410861950	#concondón
210278103	#copaamerica
133259529	#corralerosdemajagualoriginales
1330504478	#cousins
204091381	#culturísimarecomienda
112163686	#cumple
1210305776	#curti
212035306	#cwc
1372266338	#cómovamos
166028926	#daddyyankee
99801228	#danto
611018099	#debarrio
309993963	#delirio
372604988	#demilovatonorockinrio
77382474	#desfilenocturno
278372795	#design
139824862	#despedidas
104016946	#dessert
2952478119	#deveras
204091381	#diadelmaquillador
150505455	#dictator
3362648895	#digitel
2924003669	#diosenviouprabesalospormi
223478400	#dioses
516991923	#diosesbueno
388964124	#diosfiel
1354332871	#diosmeloscuide
510749307	#diseño
709785628431544320	#diversion
1094301498	#diversion
129349969	#dog
1180020318	#dontettogiracolombia
68746991	#dreamkapture
1110501908	#drones
3243882225	#drowners
3243882225	#drownersband
169543344	#dulcemaria
169543344	#dulcemariatrendy
328310934	#díadelmaquillador
62435821	#ecology
276233876	#ecuador
293774650	#ecuaexit
189611130	#efectosespeciales
37556766	#elconjuro
206818387	#eldato
191093378	#eldiadelaindependencia
523407066	#elfracasodecapriles
124113068	#elfracasodecapriles
17916058	#elfracasodecapriles
635520177	#elicemabel
444071638	#elinmortalmuertoseretuerce
202940333	#elpéndulodefoucault
3642467481	#eltripledehoy
735504559729168384	#empanaditas
2281209522	#emperatriz
83158652	#energia
814079713	#energia
1185778536	#energia
348768326	#enjoy
1385375114	#enlafinal
265850729	#enlasescaleras
2149683634	#entrevistas
1180020318	#envacacionesyosiempre
386185904	#envacacionesyosiempre
2858385383	#envacacionesyosiempre
553909607	#envacacionesyosiempre
170561649	#envacacionesyosiempre
396117650	#envacacionesyosiempre
2405531431	#envacacionesyosiempre
172851128	#envacacionesyosiempre
3081104615	#eslaultima
352356850	#esporti
1520519215	#estamoslocos
237001147	#estebarconosevahundir
847676324	#evento
273170179	#explosionmusical
386185904	#extremo
3204067018	#facebook
3004426973	#facebook
3081104615	#fail
205847829	#fairplay
3095057821	#falsodineroelectronico
478860943	#familia
327752186	#familia
703805636	#familiafolcklore
49012211	#familiahermosa
89007912	#familiasosa
1330504478	#family
89361818	#family
295791501	#family
